YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking(%);PropertyGFABuilding(s)(%);LargestPropertyUseType(%);SecondLargestPropertyUseType(%);ThirdLargestPropertyUseType(%);SiteEnergyUse(kBtu);SiteEnergyUse_log;TotalGHGEmissions_log;SteamUse(%);Electricity(%);NaturalGas(%);ENERGYSTARScore;TotalGHGEmissions;Education;Food Sales;Healthcare;Industrial;Office;Parking;Recreation;Religious;Residential;Retail;Sans;Services;Warehouse;Public_Services
1979;1.0;2;34759;0.0;100.0;128.50484766535286;0.0;0.0;1633105.375;14.3059945106761;2.516889695641051;0.0;99.99997703761156;0.0;81.0;11.39;0.0;0.0;0.0;0.0;128.50484766535286;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1966;8.0;1;415632;0.0;100.0;116.33367979366362;64.19933980059284;0.0;98960776.0;18.41023413767492;8.095327323095018;0.0;43.31429050232993;56.685703434661825;85.0;3278.11;0.0;0.0;116.33367979366362;0.0;0.0;64.19933980059284;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1965;1.0;1;21603;0.0;100.0;100.0;0.0;0.0;5833800.0;15.579179318440646;4.874357275803628;0.0;66.85278891974356;33.14721108025644;16.0;129.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0;0.0;0.0;0.0
1964;1.0;3;591981;0.0;100.0;87.87224589978393;47.70288235602156;9.148773355901625;102673696.0;18.447066527198004;8.083094013369788;0.0;46.752278207653106;53.247712052754004;60.0;3238.24;0.0;0.0;9.148773355901625;0.0;87.87224589978393;47.70288235602156;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1979;1.0;1;42900;0.0;100.0;100.34965034965036;0.0;0.0;436252.5;12.985978775389226;1.3962446919730587;0.0;100.00011461252372;0.0;53.0;3.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;100.34965034965036;0.0
1956;1.0;2;25840;0.0;100.0;100.0;0.0;0.0;313528.0938;12.655647437938955;1.1600209167967532;0.0;99.99997008242583;0.0;92.0;2.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;100.0;0.0
2001;1.0;5;70332;31.415287493601774;68.58471250639823;63.15332992094637;36.84667007905363;0.0;1981115.25;14.499171006442532;3.0017143452315387;0.0;94.19462093384017;5.8053664470050395;89.0;19.12;0.0;0.0;0.0;0.0;63.15332992094637;36.84667007905363;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1994;1.0;1;45522;0.0;100.0;100.0;0.0;0.0;12250422.0;16.321071024971086;5.792220611118078;0.0;57.30178927713674;42.69819439689506;22.0;326.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0;0.0;0.0;0.0
1997;1.0;2;40657;0.0;100.0;100.0;0.0;0.0;2826828.0;14.854666146696264;3.202746442938317;0.0;97.01347234426714;2.986527655732857;57.0;23.6;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1904;1.0;1;44086;0.0;100.0;100.01134146894705;0.0;0.0;3652708.75;15.110979847378418;5.220355825078324;52.57671447251303;33.370960660359245;14.05233855559932;29.0;184.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.01134146894705;0.0;0;0.0;0.0;0.0
1970;1.0;7;54372;38.299124549400425;61.70087545059957;100.0;27.587728978150516;0.0;1403820.0;14.154708362562493;2.378619779270043;0.0;100.0;0.0;94.0;9.79;0.0;0.0;0.0;0.0;100.0;27.587728978150516;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1945;1.0;0;274568;0.0;100.0;83.08797820576324;49.51560269222925;0.0;25311526.0;17.046770462586043;7.013078793955446;52.530412429499506;47.469579668961885;0.0;52.0;1110.07;0.0;0.0;0.0;0.0;83.08797820576324;49.51560269222925;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1956;1.0;3;21282;0.0;100.0;92.36913823888733;0.0;0.0;1245923.75;14.035388583247363;4.146778872070522;61.20296787825098;38.79699700724061;0.0;69.0;62.23;0.0;0.0;0.0;0.0;92.36913823888733;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1985;1.0;3;33580;38.683740321620014;61.31625967837999;61.31625967837999;38.683740321620014;0.0;409578.4063;12.922886073855585;1.3506671834767394;0.0;100.0001449539309;0.0;100.0;2.86;0.0;0.0;0.0;0.0;61.31625967837999;38.683740321620014;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1977;1.0;1;21936;0.0;100.0;100.0;0.0;0.0;113130.0;11.63630171826976;1.3056264580524357;0.0;63.49067444532839;36.50932555467162;100.0;2.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;100.0;0.0
1988;1.0;2;66484;0.0;100.0;74.2043198363516;27.074183262138256;13.537091631069128;3046543.0;14.929518391369607;3.1018924693823817;0.0;100.0;0.0;69.0;21.24;0.0;0.0;0.0;0.0;74.2043198363516;0.0;0.0;0.0;0.0;13.537091631069128;0;0.0;27.074183262138256;0.0
1959;1.0;3;25151;0.0;100.0;96.03991888990497;0.0;0.0;1356874.75;14.120695372355213;4.143928062410929;55.19925015186553;44.80074524196135;0.0;85.0;62.05;0.0;0.0;0.0;0.0;96.03991888990497;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1928;1.0;6;35770;0.0;100.0;100.0;0.0;0.0;2640980.25;14.786661091670576;4.730392150741473;0.0;22.91372682548459;77.0862637083333;56.0;112.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0;0.0;0.0;0.0
1928;1.0;9;48006;0.0;100.0;100.0;0.0;0.0;3239754.0;14.99100826762543;4.6280074198908485;0.0;47.33192705372075;52.66807294627925;85.0;101.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0;0.0;0.0;0.0
